desc,sql,tag,dialect
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Product,BigQuery
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Finance,BigQuery
Find logs with message greater than 488,SELECT * FROM logs WHERE message > 894 LIMIT 100,Support,Postgres
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Engineering,Snowflake
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Product,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Finance,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Find orders with created_at greater than 697,SELECT * FROM orders WHERE created_at > 670 LIMIT 100,Sales,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Find products with name greater than 863,SELECT * FROM products WHERE name > 566 LIMIT 100,Support,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Find orders with id greater than 770,SELECT * FROM orders WHERE id > 576 LIMIT 100,Engineering,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,Postgres
Find users with email greater than 175,SELECT * FROM users WHERE email > 769 LIMIT 100,Marketing,BigQuery
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Support,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Support,Postgres
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Marketing,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Support,Postgres
Find logs with level greater than 1000,SELECT * FROM logs WHERE level > 801 LIMIT 100,Sales,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Product,Snowflake
Find products with stock_level greater than 533,SELECT * FROM products WHERE stock_level > 128 LIMIT 100,Marketing,BigQuery
Find orders with id greater than 11,SELECT * FROM orders WHERE id > 542 LIMIT 100,Product,BigQuery
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Support,Snowflake
Find subscriptions with id greater than 529,SELECT * FROM subscriptions WHERE id > 326 LIMIT 100,Support,Snowflake
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Support,Snowflake
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Product,Postgres
Find products with name greater than 814,SELECT * FROM products WHERE name > 603 LIMIT 100,Product,BigQuery
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Engineering,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Finance,Snowflake
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Engineering,Postgres
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Sales,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,Snowflake
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Sales,Postgres
Find products with price greater than 92,SELECT * FROM products WHERE price > 151 LIMIT 100,Engineering,Postgres
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Sales,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Engineering,Snowflake
Find events with event_type greater than 630,SELECT * FROM events WHERE event_type > 631 LIMIT 100,Support,BigQuery
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Sales,BigQuery
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Support,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Find events with timestamp greater than 803,SELECT * FROM events WHERE timestamp > 505 LIMIT 100,Marketing,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Marketing,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Support,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Support,BigQuery
Count total events by session_id,"SELECT session_id, count(*) FROM events GROUP BY session_id ORDER BY 2 DESC",Sales,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Find orders with user_id greater than 24,SELECT * FROM orders WHERE user_id > 735 LIMIT 100,Product,Postgres
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Product,BigQuery
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Marketing,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Postgres
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Engineering,BigQuery
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Product,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Engineering,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Product,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Snowflake
Find subscriptions with id greater than 244,SELECT * FROM subscriptions WHERE id > 994 LIMIT 100,Support,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find logs with message greater than 338,SELECT * FROM logs WHERE message > 696 LIMIT 100,Finance,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Product,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Count total users by signup_date,"SELECT signup_date, count(*) FROM users GROUP BY signup_date ORDER BY 2 DESC",Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,BigQuery
Count total events by event_type,"SELECT event_type, count(*) FROM events GROUP BY event_type ORDER BY 2 DESC",Marketing,Snowflake
Find subscriptions with id greater than 753,SELECT * FROM subscriptions WHERE id > 315 LIMIT 100,Product,BigQuery
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Sales,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Support,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Engineering,Postgres
Find logs with level greater than 719,SELECT * FROM logs WHERE level > 417 LIMIT 100,Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Finance,Snowflake
Find products with stock_level greater than 260,SELECT * FROM products WHERE stock_level > 553 LIMIT 100,Marketing,BigQuery
Count total events by session_id,"SELECT session_id, count(*) FROM events GROUP BY session_id ORDER BY 2 DESC",Marketing,BigQuery
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Marketing,BigQuery
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Support,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Support,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Support,BigQuery
Count total events by event_id,"SELECT event_id, count(*) FROM events GROUP BY event_id ORDER BY 2 DESC",Marketing,Postgres
Find subscriptions with user_id greater than 941,SELECT * FROM subscriptions WHERE user_id > 312 LIMIT 100,Sales,BigQuery
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Sales,BigQuery
Find subscriptions with user_id greater than 945,SELECT * FROM subscriptions WHERE user_id > 854 LIMIT 100,Marketing,Snowflake
Find events with event_id greater than 996,SELECT * FROM events WHERE event_id > 87 LIMIT 100,Engineering,Postgres
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Marketing,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Finance,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find events with session_id greater than 465,SELECT * FROM events WHERE session_id > 983 LIMIT 100,Engineering,Snowflake
Find users with status greater than 72,SELECT * FROM users WHERE status > 417 LIMIT 100,Sales,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Product,Postgres
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Engineering,Postgres
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Support,BigQuery
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,Postgres
Find orders with status greater than 571,SELECT * FROM orders WHERE status > 739 LIMIT 100,Sales,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Find events with event_type greater than 713,SELECT * FROM events WHERE event_type > 955 LIMIT 100,Marketing,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Find subscriptions with id greater than 289,SELECT * FROM subscriptions WHERE id > 729 LIMIT 100,Sales,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Sales,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Count total users by email,"SELECT email, count(*) FROM users GROUP BY email ORDER BY 2 DESC",Sales,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Sales,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Sales,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Find events with session_id greater than 807,SELECT * FROM events WHERE session_id > 182 LIMIT 100,Finance,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Count total events by event_id,"SELECT event_id, count(*) FROM events GROUP BY event_id ORDER BY 2 DESC",Engineering,Postgres
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Support,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find logs with level greater than 67,SELECT * FROM logs WHERE level > 370 LIMIT 100,Product,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,Postgres
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Find products with price greater than 428,SELECT * FROM products WHERE price > 803 LIMIT 100,Sales,BigQuery
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Find products with category greater than 351,SELECT * FROM products WHERE category > 93 LIMIT 100,Product,BigQuery
Find orders with amount greater than 142,SELECT * FROM orders WHERE amount > 619 LIMIT 100,Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Marketing,Postgres
